"","Player.ID","Left.Right.Linear","Depth.Linear","Angle.Linear","Left.Right.Bayes","Depth.Bayes","Angle.Bayes","Event.ID","Index"
"19",3062,-0.506654805610677,0.882931014185784,40.6186692014988,-0.500169544993725,0.593358608806463,42.1311385497863,4,19
"23",3062,-0.469608313133836,1.22924228422214,41.2703617067365,-0.462671574254506,0.88764752449083,43.0837119790124,3,23
"13",3235,-0.306661721353254,1.80703325701577,41.7577061083515,-0.303815789345988,1.58847794355874,42.9821217617418,4,13
"24",3235,-0.160261432139903,0.640028488759935,40.7895088550238,-0.160198177497601,0.632738336430319,41.6641052681532,4,24
"7",3315,-0.097542706993971,0.737615059336581,43.7090632344437,-0.0965875552272732,0.535363187105856,45.5972381006736,3,7
"9",3315,-0.311518511146481,0.860012916726367,43.5816863882813,-0.307031316459625,0.50561673500631,44.5467454476028,3,9
"20",3315,-0.33419144780061,1.58167831499954,44.1312567454458,-0.329045829707752,1.21136140497828,45.4877986551243,4,20
"22",3315,-0.523992387116409,0.806062607279086,43.7237232744133,-0.520588985419839,0.665502761239269,44.8575875595206,4,22
"8",3497,0.00196144227972057,2.20254117355309,44.9254958170224,0.00193739618017358,1.94922721352701,44.5463839409135,4,8
"12",3497,-0.154547659730445,0.492938174774418,45.8334416799724,-0.155448744683372,0.619865253061779,45.3438971760923,4,12
"25",3501,-0.250645923011903,0.854909984239168,47.5152503351406,-0.250850451732612,0.872729104036495,47.5686149665145,3,25
"16",61849,0.207147698479553,0.456541263232719,41.8698892682108,0.205027055962531,0.234496959164931,43.4182867247822,4,16
"26",61849,-0.0766037518450769,0.825906737778513,43.3413156780288,-0.0761113067052116,0.693740571893243,44.1802562297367,3,26
"15",66858,0.221736635334236,1.28948254331295,44.6913379827281,0.218457046504519,0.953770360510514,46.368689217483,3,15
"21",66858,-0.489870009617069,1.22177002376376,43.8692615346042,-0.487159663364838,1.08742098619335,44.949672469141,3,21
"2",172537,-0.457469375865325,0.612635593620592,45.0341399018806,-0.454944112041491,0.492268462096484,46.0520058159525,3,2
"10",172537,-0.00538039792021202,1.53111724915295,48.9988591420842,-0.00532446875802063,1.25277347535321,49.7872732532838,4,10
"11",172537,0.300823481736154,0.952682967599127,42.9934848468421,0.299708168713941,0.868649491847161,43.2619935950452,4,11
"4",172631,-0.504967108336944,1.78665117485471,46.4704533861245,-0.501024429118359,1.58992301197277,47.4254946717825,4,4
"5",172631,-0.429701566927728,1.1914389722031,44.7748553622157,-0.426588707831379,1.03512618619648,45.7553007390601,3,5
"1",214152,0.118358797307427,0.581684781613607,43.1995558364893,0.117848782275914,0.486341916215809,44.334525939115,4,1
"17",214152,0.157753386746937,0.11357630176366,41.2488041830829,0.157213770944416,0.0452839907068581,41.8831806607755,4,17
"18",214152,-0.280604903484781,1.70863697335845,44.0017636038931,-0.275015482419008,1.20233749831766,45.8340471026915,4,18
"3",296572,0.584470343473118,1.05993087254867,45.8803369696246,0.59121249918856,1.31662879082824,45.6517806229871,4,3
"6",296572,0.0521264565851869,0.834945046349042,46.7379307488264,0.051889267196813,0.732532011902753,47.2152704729992,3,6
"14",296572,-0.463525404715778,0.918766366504479,49.7023290638957,-0.462929039775365,0.88964408780835,50.4208670155068,3,14
"27",296572,0.343896904061727,1.11835269175299,47.9160814712494,0.341240048260964,0.931742629118358,48.6574634307267,3,27
